iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
LSO,Lesotho,2017.0,179834.0,56260.0,22058.0,15578.0,188097.0,42601.0,179834.0,188097.0,66704.0,66621.0,43206.0,43576.0,Eastern and Southern Africa,6.0,42.0,66.0,121.0,True,True,False
LBR,Liberia,2015.0,318022.0,61741.0,35465.0,49298.0,366382.0,80328.0,352566.0,365345.0,155424.0,160003.0,139958.0,143061.0,West and Central Africa,8.0,75.0,41.0,111.0,False,True,False
LIE,Liechtenstein,2018.0,942.0,722.0,671.5,888.5,1057.0,805.0,942.0,1057.0,763.0,771.0,671.5,888.5,Western Europe,58.0,28.0,112.0,37.0,False,False,False
LTU,Lithuania,2018.0,56863.0,79103.0,32395.0,36231.0,59763.0,85264.0,56863.0,59763.0,79103.0,85264.0,32395.0,36231.0,Western Europe,64.0,72.0,64.0,35.0,True,True,True
LUX,Luxembourg,2018.0,18493.0,10696.0,13236.0,13058.0,19680.0,11759.0,18493.0,19680.0,10696.0,11759.0,13371.0,14164.0,Western Europe,55.0,45.0,118.0,17.0,False,False,True
MDG,Madagascar,2019.0,2324568.0,563222.0,195565.0,197304.0,2324032.0,538429.0,2324568.0,2324032.0,1266758.0,1278264.0,886201.0,888761.0,Eastern and Southern Africa,86.0,12.0,70.0,67.0,True,True,False
MWI,Malawi,2019.0,2316197.0,368499.0,80119.0,88892.0,2277131.0,452337.0,2316197.0,2277131.0,918591.0,921924.0,414694.0,413928.0,Eastern and Southern Africa,48.0,69.0,79.0,39.0,False,True,True
MYS,Malaysia,2017.0,1508405.0,676259.0,692787.0,672255.0,1576225.0,703338.0,1508405.0,1576225.0,758722.0,807206.0,797867.0,848222.0,East Asia and Pacific,23.0,99.0,75.0,38.0,True,False,True
MDV,Maldives,2019.0,23838.0,8162.0,2138.0,1794.0,25535.0,9199.0,23996.0,26365.0,8162.0,9199.0,4919.0,5207.0,South Asia,35.0,70.0,118.0,12.0,True,False,True
MLI,Mali,2018.0,1153978.0,326243.0,139316.0,204517.0,1323103.0,376417.0,1611641.0,1664895.0,671282.0,690622.0,587143.0,601678.0,West and Central Africa,74.0,62.0,78.0,21.0,True,True,True
MLT,Malta,2019.0,12928.0,6070.0,8918.59,9020.73,13860.0,6718.5,12928.0,13860.0,6070.0,6718.5,8918.59,9020.73,Western Europe,85.0,68.0,70.0,12.0,False,False,True
MHL,Marshall Islands,2019.0,3474.0,1354.0,1572.0,1487.0,3760.0,1351.0,4449.0,4644.0,3010.0,3137.0,1572.0,1487.0,East Asia and Pacific,77.0,5.0,148.0,5.0,False,False,False
MRT,Mauritania,2019.0,344294.0,91966.0,39555.0,38738.0,333164.0,89614.0,344294.0,333164.0,192937.0,198307.0,132234.0,135948.0,West and Central Africa,40.0,92.0,103.0,0.0,True,True,True
MUS,Mauritius,2019.0,42597.0,28096.0,32460.0,31270.0,43133.0,30229.0,42254.0,43889.0,28096.0,30229.0,37031.0,38514.0,Eastern and Southern Africa,55.0,33.0,140.0,7.0,True,False,True
MEX,Mexico,2018.0,6896238.0,4400783.0,2864894.0,2775947.0,7165139.0,4119011.0,6896238.0,7165139.0,4400783.0,4119011.0,3309455.0,3399604.0,Latin America and Caribbean,47.0,180.0,8.0,0.0,True,True,True
MDA,"Moldova, Republic of",2019.0,66623.0,76570.0,31321.0,33400.0,72989.0,82857.0,75443.0,80507.0,90277.0,95746.0,35628.0,37888.0,Eastern Europe and Central Asia,55.0,80.0,100.0,0.0,True,False,True
MNG,Mongolia,2019.0,159912.0,91517.0,54986.0,55679.0,167107.0,92500.0,159912.0,167107.0,96284.0,98269.0,63193.0,64299.0,East Asia and Pacific,82.0,73.0,38.0,42.0,True,False,True
MNE,Montenegro,2019.0,18654.0,13771.0,13593.0,14578.0,20431.0,14954.0,18654.0,20431.0,14959.0,16501.0,15123.0,16573.0,Eastern Europe and Central Asia,92.0,63.0,80.0,0.0,True,False,True
MSR,Montserrat,2019.0,226.0,106.0,56.0,60.0,212.0,100.0,226.0,212.0,106.0,100.0,63.0,67.0,Latin America and Caribbean,25.0,61.0,135.0,14.0,False,False,False
MAR,Morocco,2019.0,2117180.0,829814.0,542396.0,567056.0,2315049.0,981525.0,2117180.0,2315049.0,886603.0,932598.0,868630.0,909841.0,Middle East and North Africa,43.0,87.0,85.0,20.0,True,False,True
MOZ,Mozambique,2017.0,2950069.0,394686.0,183255.0,221947.0,3188449.0,416326.0,2950069.0,3188449.0,1074207.0,1063133.0,653821.0,643820.0,Eastern and Southern Africa,18.0,126.0,8.0,83.0,True,True,True
MMR,Myanmar,2018.0,2573541.0,1561032.0,612039.0,515971.0,2726224.0,1497700.0,2573541.0,2726224.0,2014112.0,2031014.0,1033779.0,1038770.0,East Asia and Pacific,28.0,177.0,3.0,27.0,True,True,False
NRU,Nauru,2019.0,917.0,425.0,186.0,216.0,939.0,376.0,917.0,939.0,428.0,430.0,186.0,216.0,East Asia and Pacific,10.0,0.0,225.0,0.0,False,False,False
NPL,Nepal,2019.0,2009314.0,943410.0,838025.0,759022.0,1960702.0,923306.0,2009314.0,1960702.0,943410.0,923306.0,1256926.0,1280878.0,South Asia,32.0,131.0,6.0,66.0,True,True,True
NLD,Netherlands,2018.0,571172.0,381831.0,416943.0,413216.0,603846.0,420496.0,571172.0,603846.0,381831.0,420496.0,416943.0,413216.0,Western Europe,49.0,56.0,112.0,18.0,False,False,True
NZL,New Zealand,2018.0,189086.0,123624.0,123065.44657,112914.26066,199193.0,130295.0,189086.0,199193.0,123624.0,130295.0,123065.44657,112914.26066,East Asia and Pacific,62.0,14.0,133.0,26.0,True,False,True
